VIC
Host,dn,id,model,vendor,serial,blade_id,chassis_id,oper_state,operability,presence,part_number,admin_power_state,base_mac,conn_path,conn_status,perf,voltage,thermal,pci_addr,pci_slot
172.16.54.166,sys/chassis-3/blade-1/adaptor-1,1,UCSB-MLOM-40G-01,Cisco Systems Inc,SRVADAP90,1,3,operable,unknown,equipped,,none,00:00:33:84:90:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-3/blade-1/adaptor-2,2,UCS-VIC-M82-8P,Cisco Systems Inc,SRVADAP91,1,3,operable,unknown,equipped,,none,00:00:33:84:91:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-3/blade-3/adaptor-1,1,UCSB-MLOM-40G-01,Cisco Systems Inc,SRVADAP92,3,3,operable,unknown,equipped,,none,00:00:33:85:92:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-3/blade-3/adaptor-2,2,UCS-VIC-M82-8P,Cisco Systems Inc,SRVADAP93,3,3,operable,unknown,equipped,,none,00:00:33:85:93:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-3/blade-7/adaptor-4,4,UCSB-MLOM-40G-01,Cisco Systems Inc,SRVADAP94,7,3,operable,unknown,equipped,,none,00:00:33:86:94:01,B,B,not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-3/blade-7/adaptor-2,2,UCS-VIC-M82-8P,Cisco Systems Inc,SRVADAP96,7,3,operable,unknown,equipped,,none,00:00:33:87:96:01,B,B,not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-4/blade-3/adaptor-1,1,UCSB-MLOM-40G-01,Cisco Systems Inc,SRVADAP104,3,4,operable,unknown,equipped,,none,00:00:37:97:04:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-4/blade-3/adaptor-2,2,UCS-VIC-M82-8P,Cisco Systems Inc,SRVADAP105,3,4,operable,unknown,equipped,,none,00:00:37:97:05:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-4/blade-1/adaptor-1,1,UCSB-MLOM-40G-01,Cisco Systems Inc,SRVADAP102,1,4,operable,unknown,equipped,,none,00:00:37:96:02:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-4/blade-1/adaptor-2,2,UCS-VIC-M82-8P,Cisco Systems Inc,SRVADAP103,1,4,operable,unknown,equipped,,none,00:00:37:96:03:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-4/blade-7/adaptor-2,2,UCS-VIC-M82-8P,Cisco Systems Inc,SRVADAP108,7,4,operable,unknown,equipped,,none,00:00:37:99:08:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-4/blade-5/adaptor-1,1,UCSB-MLOM-40G-01,Cisco Systems Inc,SRVADAP106,5,4,operable,unknown,equipped,,none,00:00:37:98:06:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A


PCI
Host,dn,id,model,vendor,serial,mac_left,mac_right,smbios_id,discovery_state,controller_reported


VHBAS
Host,id,dn,model,vendor,serial,wwn,node_wwn,admin_state,order,boot_dev,cdn_name,discovery,chassis_id,ep_dn,host_port,name,if_role,if_type,link_state,max_data_field_size,presence,oper_state,operability,original_node_wwn,original_wwn


MEMORY
Host,dn,id,model,vendor,serial,capacity,clock,presence
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-1,1,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1661,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-2,2,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1662,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-3,3,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1663,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-4,4,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1664,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-5,5,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1665,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-6,6,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1666,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-7,7,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1667,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-8,8,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1668,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-9,9,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1669,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-10,10,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1670,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-11,11,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1671,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-12,12,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1672,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-13,13,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1673,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-14,14,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1674,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-15,15,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1675,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-16,16,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1676,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-17,17,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1677,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-18,18,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1678,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-19,19,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1679,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-20,20,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1680,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-21,21,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1681,32768,2133,equipped
